question_num,question,a,b,c,d,correct_answer
311,"Ông A đang sử dụng một thửa đất (từ năm 2006) nhưng không có giấy tờ gì về đất. Hiện ông có hộ khẩu thường trú tại địa phương (nơi có thửa đất) và trực tiếp sản xuất nông nghiệp tại vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn, nay được Ủy ban nhân dân cấp xã nơi có đất xác nhận là người đã sử dụng đất ổn định, không có tranh chấp. Ông A muốn được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất thì ông A thuộc trường hợp nào dưới đây?","Không được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất","Được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất và phải nộp tiền sử dụng đất","Được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất và không phải nộp tiền sử dụng đất","Không được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất mà phải chuyển sang hình thức thuê đất",c
312,Thế nào là tham nhũng?,"Tham nhũng là hành vi của cán bộ, công chức nhà nước đã lợi dụng chức vụ, quyền hạn đó vì vụ lợi.","Tham nhũnglà hành vi lợi dụng chức vụ, quyền hạn để vụ lợi.","Tham nhũng là hành vi của người có chức vụ, quyền hạn đã lợi dụng chức vụ, quyền hạn đó vì vụ lợi.","Tham nhũnglà hành vi cửa quyền, hách dịch, đòi hỏi, gây khó khăn, phiền hà của người có chức vụ, quyền hạn trong khi thực hiện nhiệm vụ, công vụ.",c
313,"Công dân có quyền gì trong công tác phòng, chống tham nhũng?",Công dân chỉ có quyền phát hiện và báo tin về hành vi tham nhũng,"Công dân chỉ có quyền giám sát việc thực hiện pháp luật về phòng, chống tham nhũng","Công dân chỉ có quyền phát hiện, kiến nghị với cơ quan nhà nước hoàn thiện pháp luật về phòng, chống tham nhũng và giám sát việc thực hiện pháp luật về phòng, chống tham nhũng","Công dân có quyền phát hiện, phản ánh, tố cáo, tố giác, báo tin về hành vi tham nhũng và được bảo vệ, khen thưởng theo quy định của pháp luật; có quyền kiến nghị với cơ quan nhà nước hoàn thiện pháp luật về phòng, chống tham nhũng và giám sát việc thực hiện pháp luật về phòng, chống tham nhũng",d
314,Thời hạn định kỳ chuyển đổi vị trí công tác là bao nhiêu năm?,"Từ đủ 02 năm đến 05 năm theo đặc thù của từng ngành, lĩnh vực","Từ đủ 03 năm đến 06 năm theo đặc thù của từng ngành, lĩnh vực","Từ đủ 02 năm đến 04 năm theo đặc thù của từng ngành, lĩnh vực","Từ đủ 04 năm đến 05 năm theo đặc thù của từng ngành, lĩnh vực",a
315,Những người nào có nghĩa vụ kê khai tài sản?’,"Cán bộ, công chức nhà nước","Sĩ quan Công an nhân dân; sĩ quan Quân đội nhân dân, quân nhân chuyên nghiệp","Người giữ chức vụ từ Phó trưởng phòng và tương đương trở lên công tác tại đơn vị sự nghiệp công lập, doanh nghiệp nhà nước, người được cử làm đại diện phần vốn nhà nước tại doanh nghiệp; Người ứng cử đại biểu Quốc hội, người ứng cử đại biểu Hội đồng nhân dân",Tất cả đều đúng,d
316,"Chọn phương án đúng nhất: Theo Luật Phòng, chống tham nhũng, người đứng đầu, cấp phó của người đứng đầu cơ quan, tổ chức, đơn vị không được bố trí những người nào dưới đây giữ chức vụ quản lý về tổ chức nhân sự, kế toán, làm thủ quỹ, thủ kho trong cơ quan, tổ chức, đơn vị hoặc giao dịch, mua bán hàng hóa, dịch vụ, ký kết hợp đồng cho cơ quan, tổ chức, đơn vị đó.",Vợ hoặc chồng,"Vợ hoặc chồng, bố, mẹ, con, anh, chị, em ruột","Bố, mẹ, con, anh, chị, em ruột","Con, anh, chị, em ruột",b
317,"Có bao nhiêu hình thức công khai về tổ chức và hoạt động của cơ quan, tổ chức, đơn vị?",5 hình thức,6 hình thức,7 hình thức,8 hình thức,d
318,Chọn đáp án đúng:,"Cá nhân, tổ chức có quyền phản ánh, tố cáo về hành vi tham nhũng","Cá nhân, tổ chức có quyền phản ánh về hành vi tham nhũng, cá nhân có quyền tố cáo về hành vi tham nhũng theo quy định của pháp luật","Tổ chức có quyền phản ánh về hành vi tham nhũng, cá nhân có quyền tố cáo về hành vi tham nhũng theo quy định của pháp luật",Tất cả đáp án đều sai,b
319,Thế nào là vụ lợi?,"Vụ lợi là hành vi của người có chức vụ, quyền hạn đã lợi dụng chức vụ, quyền hạn đó để tham nhũng","Vụ lợi là việc công chức lợi dụng chức vụ, quyền hạn nhằm đạt được lợi ích vật chất hoặc lợi ích phi vật chất không chính đáng","Vụ lợi là việc người có chức vụ, quyền hạn đã lợi dụng chức vụ, quyền hạn nhằm đạt được lợi ích vật chất hoặc lợi ích phi vật chất không chính đáng","Vụ lợi là hành vi lợi dụng chức vụ, quyền hạn đó để tham nhũng",c
320,"Luật Phòng chống tham nhũng quy định việc tặng quà của cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn như thế nào?","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn không được sử dụng tài chính công, tài sản công làm quà tặng, trừ trường hợp tặng quà vì mục đích từ thiện, đối ngoại và trong trường hợp cần thiết khác theo quy định của pháp luật.","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn tuyệt đối không được sử dụng tài chính công, tài sản công làm quà tặng","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn được sử dụng tài chính công, tài sản công làm quà tặng","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn chỉ được sử dụng tài chính công, tài sản công làm quà tặng, vì mục đích từ thiện",a
321,"Luật Phòng chống tham nhũng quy định việc nhận quà tặng của cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn như thế nào?","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn được trực tiếp hoặc gián tiếp nhận quà tặng dưới mọi hình thức của cơ quan, tổ chức, đơn vị, cá nhân có liên quan đến công việc do mình giải quyết hoặc thuộc phạm vi quản lý của mình","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn được trực tiếp nhận quà tặng dưới mọi hình thức của cơ quan, tổ chức, đơn vị, cá nhân có liên quan đến công việc do mình giải quyết hoặc thuộc phạm vi quản lý của mình","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn được gián tiếp nhận quà tặng dưới mọi hình thức của cơ quan, tổ chức, đơn vị, cá nhân có liên quan đến công việc do mình giải quyết hoặc thuộc phạm vi quản lý của mình","Cơ quan, tổ chức, đơn vị, người có chức vụ, quyền hạn không được trực tiếp hoặc gián tiếp nhận quà tặng dưới mọi hình thức của cơ quan, tổ chức, đơn vị, cá nhân có liên quan đến công việc do mình giải quyết hoặc thuộc phạm vi quản lý của mình",d
322,Luật Phòng chống tham nhũng năm 2018 quy định việc xử lý tài sản tham nhũng như thế nào?,Tài sản tham nhũng phải được thu hồ theo quy định của pháp luật,"Tài sản tham nhũng phải được trả lại cho chủ sở hữu, người quản lý hợp pháp theo quy định của pháp luật",Tài sản tham nhũng phải được tịch thu theo quy định của pháp luật,"Tài sản tham nhũng phải được thu hồi, trả lại cho chủ sở hữu, người quản lý hợp pháp hoặc tịch thu theo quy định của pháp luật",d
323,"Người kê khai tài sản, thu nhập phải có nghĩa vụ gì?","Người có nghĩa vụ kê khai phải kê khai tài sản, thu nhập và biến động về tài sản, thu nhập của mình","Người có nghĩa vụ kê khai phải kê khai tài sản, thu nhập và biến động về tài sản, thu nhập của mình, của vợ hoặc chồng","Người có nghĩa vụ kê khai phải kê khai tài sản, thu nhập và biến động về tài sản, thu nhập của mình, của vợ hoặc chồng, con chưa thành niên theo quy định của Luật này","Người có nghĩa vụ kê khai phải kê khai tài sản, thu nhập và biến động về tài sản, thu nhập của mình, con chưa thành niên",c
324,"Trong phòng chống tham nhũng công tác kiểm tra của cơ quan, tổ chức, đơn vị bao gồm những hình thức nào?","Kiểm tra thường xuyên được tiến hành theo chương trình, kế hoạch và tập trung vào lĩnh vực, hoạt động dễ phát sinh tham nhũng",Chỉ kiểm tra đột xuất được tiến hành khi phát hiện có dấu hiệu tham nhũng,"Kiểm tra thường xuyên được tiến hành theo chương trình, kế hoạch và tập trung vào lĩnh vực, hoạt động dễ phát sinh tham nhũng; kiểm tra đột xuất được tiến hành khi phát hiện có dấu hiệu tham nhũng",Kiểm tra thường xuyên và kiểm tra đột xuất,c
325,"Khi phát hiện có hành vi tham nhũng, người đứng đầu cơ quan quản lý nhà nước phải làm gì?",kịp thời xử lý theo thẩm quyền hoặc báo cho cơ quan có thẩm quyền xử lý theo quy định của pháp luật,kịp thời xử lý theo thẩm quyền,báo cho cơ quan có thẩm quyền xử lý theo quy định của pháp luật,Họp cơ quan và xử lý nội bộ,a
326,Chọn đáp án đúng:,"Người có hành vi tham nhũng giữ bất kì chức vụ, vị trí công tác nào đều phải bị xử lý nghiêm minh theo quy định của pháp luật, kể cả người đã nghỉ hưu, thôi việc, chuyển công tác","Người có hành vi tham nhũng giữ bất kì chức vụ, vị trí công tác nào đều phải bị xử lý nghiêm minh theo quy định của pháp luật, kể cả người đã thôi việc, chuyển công tác","Người có hành vi tham nhũng giữ bất kì chức vụ, vị trí công tác nào đều phải bị xử lý nghiêm minh theo quy định của pháp luật","Người có hành vi tham nhũng giữ bất kì chức vụ, vị trí công tác nào đều phải bị xử lý nghiêm minh theo quy định của pháp luật, kể cả người đã nghỉ hưu, chuyển công tác",a
327,"Vi phạm hình sự ở mức độ tội phạm ít nghiêm trọng, khung hình cao nhất là…",7 năm,5 năm,3 năm,8 năm,c
328,"Vi phạm hình sự ở mức độ tội phạm rất nghiêm trọng, khung hình cao nhất là…",7 năm,15 năm,3 năm,18 năm,b
329,"Vi phạm hình sự ở mức độ tội phạm đặc biệt nghiêm trọng, khung hình cao nhất là…",20 năm,18 năm,15 năm,Tử hình,d
330,Những người có hành vi trái pháp luật sẽ bị cơ quan nhà nước có thẩm quyền xử lý theo quy định của pháp luật là thể hiện…?,mục đích và pháp luật,đặc trưng của pháp luật,bản chất của pháp luật,vai trò của pháp luật,b
331,Bạn A thắc mắc tại sao cả Hiến pháp và luật giáo dục đều quy định công dân có quyền và nghĩa vụ học tập? Em sẽ sử dụng đặc trưng nào dưới đây của pháp luật để giải thích cho bạn A?,tính quyền lực của pháp luật,tính xác định chặt chẽ về hình thức,tính quy phạm phổ biến của pháp luật,Tính bắt buộc chung của pháp luật,b
332,"Để xử lý người có hành vi xâm hại đến các lợi ích của giai cấp cầm quyền, Nhà nước sẽ sử dụng quyền lực có tính cưỡng chế. Khẳng định này là nội dung nào dưới đây của pháp luật?",đặc trưng của pháp luật,bản chất của pháp luật,vai trò của pháp luật,chức năng của pháp luật,b
333,Pháp luật do nhà nước ban hành phù hợp với ý chí của giai cấp cầm quyền là thể hiện bản chất nào dưới đây của pháp luật?,chính trị,kinh tế,xã hội,giai cấp,d
334,Khi đạo đức trở thành nội dung của quy phạm pháp luật thì các giá trị đạo đức được nhà nước bảo đảm thực hiện bằng…,sức ép của dư luận xã hội,lương tâm của mỗi cá nhân,niềm tin của mọi người,sức mạnh quyền lực của nhà nước,d
335,"Dựa vào nội dung nào dưới đây của pháp luật mà nhà nước có thể kiểm tra, kiểm soát được các hoạt động của mọi công dân?",đặc trưng của pháp luật,bản chất của pháp luật,chức năng của pháp luật,vai trò của pháp luật,d
336,Công dân có thể thực hiện quyền kinh doanh phù hợp với khả năng điều kiện của mình là biểu hiện vai trò nào dưới đây của pháp luật?,là phương tiện để nhà nước quản lý xã hội,là phương tiện để nhà nước phát huy quyền lực của mình,là phương tiện để công dân bảo vệ quyền và nghĩa vụ của mình,là phương tiện để công dân bảo vệ quyền và lợi ích hợp pháp của mình,d
337,"Nhờ có luật sư tư vấn nên việc khiếu nại của gia đình ông B đã được giải quyết, trường hợp này đã thể hiện pháp luật là phương tiện để công dân bảo vệ quyền và…",nghĩa vụ của mình,trách nhiệm của mình,lợi ích hợp pháp của mình,nghĩa vụ hợp pháp của mình,c
338,"Nhờ chị S có hiểu biết về pháp luật nên tranh chấp về đất đai giữa gia đình chị với gia đình anh B được giải quyết ổn thỏa, trường hợp này đã thể hiện vai trò nào dưới đây của pháp luật?",bảo vệ quyền và lợi ích hợp pháp của công dân,bảo vệ tự do ngôn luận và khiếu nại của công dân,bảo vệ quyền tự do dân chủ của công dân,bảo vệ quyền tham gia quản lý xã hội của công dân,a
339,"Cửa hàng nhà A bị quản lý thị trường lập biên bản xử lý vì tiêu thụ thực phẩm bẩn, bạn X cho rằng, đặc trưng của pháp luật trong trường hợp này là tính quy phạm phổ biến; H thì khẳng định là tính quyền lực bắt buộc chung; Y nghe được liền nói đó vừa là tính quyền lực bắt buộc chung, vừa là tính xác định chặt chẽ về hình thức. Ý kiến của những ai dưới đây là đúng?",H và Y,Chỉ H đúng,X và H,X và Y,c
340,Hệ thống quy tắc xử sự chung do nhà nước ban hành và được bảo đảm thực hiện bằng…,quy định của nhà nước,quyền lực của nhà nước,chủ trương của nhà nước,chính sách của nhà nước,b
341,Mỗi quy tắc xử sự thường được thể hiện thành…,nhiều quy định pháp luật,một số quy định pháp luật,quy phạm pháp luật,nhiều quy phạm pháp luật,c
342,Giá trị công bằng bình đẳng của pháp luật được thể hiện rõ nhất ở đặc trưng nào dưới đây?,"Tính chặt chẽ, cụ thể về nội dung",Tính xác định chặt chẽ về hình thức,"Tính quyền lực, bắt buộc chung",Tính quy phạm phổ biến,d
343,Những người thực hiện không đúng quy định của pháp luật sẽ bị cơ quan có thẩm quyền áp dụng các biện pháp cần thiết để buộc họ phải tuân theo là thể hiện đặc trưng nào dưới đây của pháp luật?,Tính quy phạm phổ biến,Tính quyền lực bắt buộc chung,Tính hiệu lực tuyệt đối,Tính thực tiễn khả thi cao,b
344,Hình thức thể hiện của pháp luật là các văn bản có chứa…?,quy định chung,quy định bắt buộc,chuẩn mực chung,quy phạm pháp luật,d
345,Pháp luật mang bản chất giai cấp vì pháp luật do nhà nước ban hành…,phù hợp với ý chí của giai cấp cầm quyền,phù hợp với lợi ích của tất cả mọi người,bắt nguồn từ nhu cầu và lợi ích của nhân dân,bắt nguồn từ thực tiễn đời sống xã hội,a
346,Nội dung của văn bản do cơ quan cấp dưới ban hành trái với nội dung của văn bản do cơ quan cấp trên ban hành là vi phạm đặc trưng nào dưới đây của pháp luật?,trình tự ban hành quy phạm pháp luật,khả năng đảm bảo việc thi hành pháp luật,tính xác định chặt chẽ về mặt hình thức,hiệu lực tuyệt đối của văn bản pháp luật,c
347,Nội dung của tất cả các văn bản pháp luật đều phải phù hợp không được trái Hiến pháp đề cập đến đặc trưng nào dưới đây của pháp luật?,Tính xác định chặt chẽ về mặt hình thức,Tính xác định chi tiết về nội dung,Tính quyền lực bắt buộc chung,"Tính khuôn mẫu, thuyết phục",a
348,Các quy phạm pháp luật do nhà nước ban hành phải phù hợp với…,nguyện vọng của mọi tầng lớp trong xã hội,nguyện vọng của giai cấp cầm quyền mà Nhà nước đại diện,Ý chí của giai cấp cầm quyền mà nhà nước là đại diện,Ý chí của mọi giai cấp và tầng lớp trong xã hội,c
349,"Tại các thành phố, thị trấn nhiều người đi bộ ngang nhiên băng qua đường đi xuống lòng đường bất chấp quy tắc an toàn giao thông gây ra nhiều vụ tai nạn giao thông nghiêm trọng. Từ thực tế này, pháp luật tăng mức xử phạt đối với người đi bộ nếu vi phạm quy định khi tham gia giao thông đường bộ, quy định này thể hiện bản chất nào dưới đây của pháp luật?",bản chất văn hóa,bản chất xã hội,bản chất chính trị,bản chất giai cấp,b
350,Khẳng định nào dưới đây là không đúng khi nói về quan hệ giữa pháp luật với đạo đức?,quy phạm pháp luật chủ yếu thể hiện quan niệm về đạo đức,pháp luật là phương tiện đặc thù để thể hiện các giá trị đạo đức,pháp luật là phương tiện đặc thù để bảo vệ các giá trị đạo đức,pháp luật và đạo đức được thực hiện bằng quyền lực nhà nước,d
351,Điểm giống nhau cơ bản giữa pháp luật và đạo đức là…,điều chỉnh hành vi để hướng tới các giá trị xã hội,thể hiện những quy tắc mang tính bắt buộc chung,"được tuân thủ bằng niềm tin, lương tâm của cá nhân",điều chỉnh hành vi dựa trên tính tự giác của công dân,a
352,Quyền tự do kinh doanh của công dân và nghĩa vụ của công dân khi thực hiện các hoạt động kinh doanh là nội dung cơ bản của pháp luật về….,phát triển kinh tế,phát triển văn hóa,phát triển các lĩnh vực xã hội,quốc phòng và an ninh,a
353,Quyền tự do kinh doanh được hiểu là mọi người được tự do…,kinh doanh khi có đủ các điều kiện vật chất,kinh doanh trong những ngành nghề pháp luật không cấm,quyết định thực hiện kinh doanh bất kỳ mặt hàng nào,quyết định mở rộng quy mô và hình thức kinh doanh,b
354,Quyền tự do kinh doanh có nghĩa là mọi công dân khi có đủ điều kiện do pháp luật quy định đều có quyền tiến hành hoạt động kinh doanh sau khi được cơ quan nhà nước có thẩm quyền…,tiếp nhận đăng ký kinh doanh,chấp nhận đăng ký kinh doanh,trả lại đăng ký kinh doanh,phản hồi về đăng ký kinh doanh,b
355,Nội dung nào dưới đây là điều kiện để công dân tiến hành hoạt động kinh doanh…,có đủ năng lực đăng ký kinh doanh,được cơ quan nhà nước có thẩm quyền chấp nhận đăng ký kinh doanh,có đủ điều kiện kinh tế để kinh doanh,có đủ tiềm lực kinh tế năng lực kinh doanh,b
356,Chủ thể nào dưới đây không được đăng ký kinh doanh…,người chưa thành niên,người thành niên,người có đủ điều kiện theo quy định của pháp luật,cán bộ công chức về hưu,a
357,Nội dung nào dưới đây là một trong những nghĩa vụ mà người sản xuất kinh doanh phải thực hiện…,giải quyết việc làm cho lao động tại địa phương,bảo vệ môi trường,xóa đói giảm nghèo tại địa phương,đảm bảo đầy đủ điều kiện vật chất cho người lao động,b
358,Nội dung nào dưới đây là một trong những nghĩa vụ của nhà sản xuất kinh doanh phải thực hiện…,giải quyết tình trạng thất nghiệp tại địa phương,xóa đói giảm nghèo tại địa phương,nộp thuế đầy đủ theo quy định của pháp luật,đảm bảo đầy đủ điều kiện vật chất cho người lao động,c
359,Nội dung nào dưới đây là một trong những nghĩa vụ của nhà sản xuất kinh doanh….,kinh doanh đúng ngành nghề ghi trong giấy phép kinh doanh,xóa đói giảm nghèo tại địa phương,giải quyết việc làm cho lao động tại địa phương,đảm bảo đầy đủ điều kiện vật chất và tinh thần cho người lao động,a
360,Nội dung nào dưới đây là một trong những nghĩa vụ của nhà sản xuất kinh doanh…,đảm bảo đầy đủ điều kiện vật chất cho người lao động,xóa đói giảm nghèo tại địa phương và vùng phụ cận,giải quyết việc làm cho lao động tại địa phương,bảo vệ quyền lợi người tiêu dùng,d
361,Nội dung nào dưới đây là một trong những nghĩa vụ của nhà sản xuất kinh doanh…,đảm bảo đầy đủ điều kiện vật chất cho người lao động,xóa đói giảm nghèo tại địa phương,"tuân thủ các quy định về quốc phòng, an ninh",giải quyết việc làm cho lao động tại địa phương,c
362,Nghĩa vụ nào dưới đây rất quan trọng cần được nhà sản xuất kinh doanh thực hiện nghiêm chỉnh…,kinh doanh đúng ngành nghề ghi trong giấy phép,bảo vệ quyền lợi của nhân dân,nộp thuế đầy đủ theo quy định của pháp luật,tuân thủ các quy định về giao thông phòng chống tệ nạn xã hội,a
363,Các quy định pháp luật về giải quyết việc làm xóa đói giảm nghèo là nội dung của pháp luật về lĩnh vực…,chính trị,kinh tế,xã hội,văn hóa,c
364,Các quy định pháp luật nhằm kiềm chế sự gia tăng dân số và phòng chống tệ nạn xã hội là nội dung của pháp luật về lĩnh vực…,chính trị,kinh tế,xã hội,văn hóa,c
365,Biện pháp nào dưới đây được nhà nước sử dụng để xóa đói giảm nghèo…,chăm sóc sức khỏe cho nhân dân,tạo ra nhiều việc làm mới,mở rộng các hình thức trợ giúp người nghèo,phòng chống tệ nạn xã hội,c
366,"Công dân có nghĩa vụ thực hiện kế hoạch hóa gia đình xây dựng gia đình ít con, no ấm, bình đẳng, tiến bộ hạnh phúc bền vững là nội dung được quy định trong…","Hiến pháp, Luật hôn nhân và gia đình","Hiến pháp, Pháp lệnh dân số","luật Hôn nhân và gia đình, Pháp lệnh dân số",pháp lệnh dân số,c
367,"Đấu tranh phòng chống tội phạm, giữ gìn trật tự kỷ cương xã hội, ngăn chặn và bài trừ các tệ nạn xã hội nhất là nạn mại dâm, ma túy là nội dung được quy định trong…","Hiến pháp, Luật phòng chống ma túy","Hiến pháp, Pháp lệnh phòng chống mại dâm","Luật phòng chống ma túy, Pháp lệnh phòng chống mại dâm",Pháp lệnh phòng chống ma túy,c
368,Để bảo vệ môi trường những hành vi nào dưới đây bị pháp luật nghiêm cấm…,"phá hoại, khai thác trái phép rừng, các nguồn tài nguyên thiên nhiên",bảo tồn và sử dụng hợp lý tài nguyên thiên nhiên,bảo vệ môi trường rừng và các tài nguyên thiên nhiên,không săn bắt động vật quý hiếm,a
369,"Quá trình hoạt động có mục đích, làm cho các quy định của pháp luật đi vào cuộc sống và trở thành những hành vi hợp pháp của các cá nhân, tổ chức là nội dung của khái niệm nào dưới đây?",ban hành pháp luật,xây dựng pháp luật,thực hiện pháp luật,phổ biến pháp luật,c
370,Công dân khi tham gia các quan hệ xã hội đều thực hiện cách xử sự phù hợp với quy định của pháp luật là biểu hiện của…,ban hành pháp luật,xây dựng pháp luật,thực hiện pháp luật,phổ biến pháp luật,c
371,"Mục đích của việc ban hành pháp luật là điều chỉnh cách xử sự của công dân theo các quy tắc, cách thức phù hợp với yêu cầu của chủ thể nào dưới đây?",tổ chức,cộng đồng,nhà nước,xã hội,c
372,"Thực hiện pháp luật là quá trình hoạt động có mục đích, làm cho các quy định của pháp luật đi vào cuộc sống trở thành hành vi…",có ích của công dân,cơ bản của cá nhân,hợp pháp của công dân,cốt lõi của cá nhân,c
373,Nội dung nào dưới đây không phải là biểu hiện của thực hiện pháp luật…,làm những việc mà pháp luật cho phép làm,làm những việc mà pháp luật quy định phải làm,không làm những việc mà pháp luật cấm,làm những việc mà pháp luật cấm,d
374,"Các cá nhân, tổ chức sử dụng đúng đắn các quyền của mình làm những gì mà pháp luật cho phép làm là nội dung của hình thức thực hiện pháp luật nào dưới đây?",Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,a
375,Công dân chủ động làm những gì mà pháp luật quy định phải làm là hình thức thực hiện pháp luật nào dưới đây?,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,b
376,Hình thức thực hiện pháp luật nào dưới đây mà chủ thể có quyền lựa chọn làm hoặc không làm?,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,a
377,Công dân được làm những gì mà pháp luật cho phép làm là nội dung của hình thức thực hiện pháp luật nào dưới đây?,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,a
378,"Các cá nhân, tổ chức thực hiện đầy đủ những nghĩa vụ, chủ động làm những gì mà pháp luật quy định phải làm là hình thức thực hiện pháp luật nào dưới đây?",Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,b
379,Sử dụng pháp luật được hiểu là công dân sử dụng đúng đắn các quyền của mình làm những gì mà pháp luật…,không cho phép làm,cho phép làm,quy định cấm làm,quy định phải làm,b
380,Thi hành pháp luật là việc các cá nhân tổ chức…,chủ động làm những gì mà pháp luật quy định phải làm,chủ động không làm những gì mà pháp luật cấm,tự giác làm những gì mà pháp luật cho phép làm,tự giác thực hiện những gì mà pháp luật quy định nên làm,a
381,"Thi hành pháp luật được hiểu là các cá nhân tổ chức thực hiện đầy đủ những nghĩa vụ, chủ động làm những gì mà pháp luật…",quy định nên làm,không cấm,Quy định phải làm,cho phép làm,c
382,Tuân thủ pháp luật được hiểu là việc các cá nhân tổ chức…,làm những điều mà pháp luật cho phép,làm những điều mà pháp luật bắt buộc,không làm những điều mà pháp luật cấm,không làm những điều mà pháp luật ràng buộc,c
383,Việc các cá nhân tổ chức không làm những điều mà pháp luật cấm là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,c
384,Áp dụng pháp luật được hiểu là các cơ quan công chức nhà nước có thẩm quyền ra các quyết định làm phát sinh chấm dứt hoặc thay đổi việc thực hiện…,quyền và trách nhiệm cụ thể của công dân,quyền và nghĩa vụ cụ thể của công dân,nghĩa vụ và lợi ích cụ thể của công dân,nghĩa vụ và quyền lợi cụ thể của công dân,b
385,Cơ quan công chức nhà nước có thẩm quyền ban hành các quyết định trong quản lý điều hành là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,d
386,Hình thức thực hiện pháp luật nào dưới đây có chủ thể thực hiện khác với các hình thức còn lại?,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,d
387,"Việc các cơ quan công chức nhà nước có thẩm quyền ra quyết định làm phát sinh chấm dứt hoặc thay đổi việc thực hiện các quyền, nghĩa vụ cụ thể của công dân là nội dung của hình thức thực hiện pháp luật nào dưới đây?",Tuân thủ pháp luật,Thi hành pháp luật,Sử dụng pháp luật,Áp dụng pháp luật,d
388,Tuân thủ pháp luật là hình thức thực hiện pháp luật trong đó các cá nhân tổ chức không làm những điều mà pháp luật…?,cho phép làm,quy định cấm,quy định phải làm,không bắt buộc,b
389,"Hành vi trái pháp luật, có lỗi do người có năng lực trách nhiệm pháp lý thực hiện xâm hại các quan hệ xã hội được pháp luật bảo vệ là nội dung của khái niệm nào dưới đây?",Thực hiện pháp luật,Vi phạm pháp luật,Tuân thủ pháp luật,Trách nhiệm pháp lý,b
390,Dấu hiệu nào dưới đây không phải là một trong những căn cứ để xác định một hành vi vi phạm pháp luật…?,hành vi chứa đựng lỗi của chủ thể thực hiện,hành vi do người có năng lực trách nhiệm pháp lý thực hiện,hành vi do người có thẩm quyền thực hiện theo quy định của pháp luật,hành vi xâm hại các quan hệ xã hội được pháp luật bảo vệ,c
391,Một trong những căn cứ để xác định một hành vi vi phạm pháp luật là hành vi do người…,có năng lực trách nhiệm pháp lý thực hiện,có thẩm quyền trong cơ quan nhà nước thực hiện,trên 18 tuổi thực hiện,từ trên 16 tuổi đến 18 tuổi thực hiện,a
392,Dấu hiệu nào dưới đây là một trong những căn cứ để xác định hành vi trái pháp luật?,hành vi xâm hại các chuẩn mực xã hội,hành vi xâm hại các phong tục tập quán,hành vi xâm hại các quy định của xã hội,hành vi xâm hại quan hệ xã hội pháp luật bảo vệ,d
393,Năng lực trách nhiệm pháp lý của cá nhân bao gồm…?,độ tuổi và nhận thức,độ tuổi và trình độ,độ tuổi và hành vi,trình độ và hành vi,d
394,Dấu hiệu nào dưới đây là biểu hiện của hành vi trái pháp luật?,công dân làm những việc pháp luật quy định không được làm,công dân không làm những việc mà pháp luật cấm,công dân làm những việc mà pháp luật cho phép làm,công dân làm những việc phải làm theo quy định pháp luật,a
395,Hành vi trái pháp luật nào dưới đây do người có năng lực trách nhiệm pháp lý thực hiện?,Anh A trong lúc say rượu đánh bạn mình bị thương nặng,Em H bị tâm thần nên đã lấy đồ của cửa hàng mà không trả tiền,Chị A bị trầm cảm nên đã sát hại con đẻ của mình,Anh T trong lúc lên cơn động kinh đã đập vỡ cửa kính nhà hang,a
